nome,status,nome_completo
SG-23-V-A-III-1-NE-B-II-1,extra_na_pasta,SG-23-V-A-III-1-NE-B-II-1.laz
SG-23-V-A-III-1-NE-B-II-2,extra_na_pasta,SG-23-V-A-III-1-NE-B-II-2.laz
SG-23-V-A-III-1-NE-B-II-3,extra_na_pasta,SG-23-V-A-III-1-NE-B-II-3.laz
SG-23-V-A-III-2-NO-B-II-1,extra_na_pasta,SG-23-V-A-III-2-NO-B-II-1.laz
Y-C-III-3-SE-A-IV-2,extra_na_pasta,Y-C-III-3-SE-A-IV-2.laz
Y-C-III-3-SE-A-IV-3,extra_na_pasta,Y-C-III-3-SE-A-IV-3.laz
Y-C-III-3-SE-A-IV-5,extra_na_pasta,Y-C-III-3-SE-A-IV-5.laz
Y-C-III-3-SE-A-IV-6,extra_na_pasta,Y-C-III-3-SE-A-IV-6.laz
Y-C-III-3-SE-B-I-4,extra_na_pasta,Y-C-III-3-SE-B-I-4.laz
Y-C-III-3-SE-B-I-5,extra_na_pasta,Y-C-III-3-SE-B-I-5.laz
Y-C-III-3-SE-B-II-2,extra_na_pasta,Y-C-III-3-SE-B-II-2.laz
Y-C-III-3-SE-B-II-4,extra_na_pasta,Y-C-III-3-SE-B-II-4.laz
Y-C-III-3-SE-B-II-5,extra_na_pasta,Y-C-III-3-SE-B-II-5.laz
Y-C-III-3-SE-B-II-6,extra_na_pasta,Y-C-III-3-SE-B-II-6.laz
Y-C-III-3-SE-B-III-1,extra_na_pasta,Y-C-III-3-SE-B-III-1.laz
Y-C-III-3-SE-B-III-2,extra_na_pasta,Y-C-III-3-SE-B-III-2.laz
Y-C-III-3-SE-B-III-3,extra_na_pasta,Y-C-III-3-SE-B-III-3.laz
Y-C-III-3-SE-B-III-4,extra_na_pasta,Y-C-III-3-SE-B-III-4.laz
Y-C-III-3-SE-B-III-5,extra_na_pasta,Y-C-III-3-SE-B-III-5.laz
Y-C-III-3-SE-B-III-6,extra_na_pasta,Y-C-III-3-SE-B-III-6.laz
Y-C-III-3-SE-B-IV-1,extra_na_pasta,Y-C-III-3-SE-B-IV-1.laz
